title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【現行犯】パパが作ってしまったタイトル詐欺・サムネ詐欺動画について（しかも総集編）【しほりみチャンネル】,/watch?v=arWYAsftaO4,18968,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,109
お姉ちゃん、ごめんね。。。部屋でふたりきり。。。【しほりみチャンネル】,/watch?v=s3cH2mglzeg,34266,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,196
【誰か助けて😭】2匹の子犬のお散歩中にハプニング発生💦一歩も動けない…大丈夫？？マルチーズのシロンとトイプードル（マルプー）のコロンのお散歩デビュー総集編【しほりみチャンネル】,/watch?v=UHiVcVkB310,15326,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,88
【24時間】小学３年生・干物女子が24時間ソファー生活にチャレンジ！どうなる？姉はキレるのか？【アフレコ】【しほりみチャンネル】,/watch?v=jo8R8_iBud8,18944,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,109
【ルーティーン】小学５年生！課題をやる１日に密着！朝から夕方までみっちり勉強…泣【しほりみチャンネル】,/watch?v=5ABmX1Svgdw,35748,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,205
新築マンションに引っ越しが決まりました【意味が分かると怖い話】,/watch?v=6KSisc6Q1X8,12774,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,73
突然号泣！何があったの？？りみの課題をやる日に密着(後編) 【りみvsママ】課題はできた？？【ルーティーン】【しほりみチャンネル】,/watch?v=YT0K_XzjqEQ,27480,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,157
【ついに最終回】大量の鬼滅の刃グッズを探しに日本一のゲーセンで景品ゲットしまくりの総集編【しほりみチャンネル】,/watch?v=PGpGGdrpX5k,21314,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,122
りみの課題をやる日の１日に密着(前編) ママが先生代わり！【りみVSママ】お互いにキレながら…頑張ってます【ルーティーン】 【しほりみチャンネル】,/watch?v=hFERlPFMpBY,21542,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,123
【心配】虫に刺されて両目に異変！視力低下でついに初メガネ？眼科受診総集編【しほりみチャンネル】,/watch?v=a5Rm5Yrduvc,25075,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,144
【あつまれ動物の森】意味が分かると怖い話を大募集【しほりみチャンネル】,/watch?v=M1fi7mF1JJ4,9495,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,54
