title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Mother Refuses To Sign Future Son In Law's Divorce Papers | sMothered,/watch?v=5h2kAWjthP8,2610,uk,4430000,1時間前,680829,0
"""If You Don't Come To Pageant Full Of Glitz You Have To Go Home! | Toddlers & Tiaras",/watch?v=v7ZhLkm9lSk,64124,uk,4430000,1日前,680829,9
"""This Is A Lipoma Jackpot!"" | Dr. Pimple Popper Pop Ups",/watch?v=5hLnTE4RMTM,208005,uk,4430000,3日前,680829,31
Dr Lee May Have Extracted The Biggest Pillar Cyst She Has Ever Seen! | Dr. Pimple Popper Pop Ups,/watch?v=43z9idNCsyE,332414,uk,4430000,4日前,680829,49
Mum Is Tired Of Contestant Performing With His Back To The Audience | Toddlers & Tiaras,/watch?v=T_cs5-z1-vY,58541,uk,4430000,5日前,680829,9
A HUGE Fight Between Michael And Angela Breaks Out | 90 Day Fiancé: Happily Ever After,/watch?v=mMf78XkuPkM,350311,uk,4430000,6日前,680829,51
Mother Invites Herself To Her Son In Law’s Divorce | sMothered,/watch?v=7whMD6jruFE,28972,uk,4430000,1週間前,680829,4
Everyone Is Extremely Disappointed In Jihoon | 90 Day Fiancé: The Other Way,/watch?v=B27NoAS8g4g,98952,uk,4430000,1週間前,680829,15
Child Has World's Largest Lure Collection Valued At Over $12K | My Kid's Obsession,/watch?v=lnjehB2cll4,23076,uk,4430000,1週間前,680829,3
Quirky Pageant Contestant Who Focuses On Natural Beauty Comes Last | Toddlers & Tiaras,/watch?v=GLnkm3KJDmA,98692,uk,4430000,1週間前,680829,14
Colt's Mom Meets Jess But They Might Not Get Along | 90 Day Fiancé: Happily Ever After?,/watch?v=4hu48iUBERY,241814,uk,4430000,1週間前,680829,36
Mother & Daughter Shower Together Every Morning | sMothered,/watch?v=fLBvvQhiFiI,150225,uk,4430000,2週間前,680829,22
Kenneth Breaks Down Saying Goodbye To His Family | 90 Day Fiancé: The Other Way,/watch?v=8rKughmRhkw,51370,uk,4430000,2週間前,680829,8
"""It Does Look Like Oatmeal!"" | Dr. Pimple Popper Pop Ups",/watch?v=AlrIe969HDI,993469,uk,4430000,2週間前,680829,146
"Contestant Is ""Too Sleepy"" And Abandons Competition | Toddlers & Tiaras",/watch?v=SCeDiiQW-tI,56589,uk,4430000,2週間前,680829,8
The Quints Find New Ways To Play During Quarantine | Outdaughtered,/watch?v=5lxqbakhGWs,241594,uk,4430000,2週間前,680829,35
Asuelu Leaves Kalani And The Kids! | 90 Day Fiancé: Happily Ever After?,/watch?v=FLooiEVIlB4,577414,uk,4430000,2週間前,680829,85
Tom Tried To Have His Way With 2 Other Women From The Cast | 90 Day Fiancé: Before The 90 Days,/watch?v=_ffMbH19CDU,276382,uk,4430000,3週間前,680829,41
Jihoon Is Lying To Deavan About Having A Stable Job | 90 Day Fiancé : The Other Way,/watch?v=9p3A8bUBYt8,313757,uk,4430000,3週間前,680829,46
The Busby's Receive Some Bad News | Outdaughtered,/watch?v=MmKT425luWU,738360,uk,4430000,3週間前,680829,108
Angela Writes A Will In Which Michael Is Left With Nothing | 90 Day Fiancé: Happily Ever After?,/watch?v=xyagyVCefU4,1079802,uk,4430000,3週間前,680829,159
Rose Accuses Big Ed Of Offering To Pay For Video Sex With Her | 90 Day Fiancé: Before The 90 Days,/watch?v=dJa980dDeBM,344883,uk,4430000,4週間前,680829,51
Jenny Moves To India So She Can Be With Sumit... Again | 90 Day Fiancé: The Other Way,/watch?v=HsWfFHxfslc,346414,uk,4430000,4週間前,680829,51
Pageant Mum Gets Her Daughter Ready At The Last Minute | Toddlers and Tiaras,/watch?v=nhQQmzF1At4,129002,uk,4430000,1か月前,680829,19
The Quints Go Skiing | Outdaughtered,/watch?v=LLXAdtTdcsQ,128759,uk,4430000,1か月前,680829,19
Andrei Pressures Elizabeth To Ask Her Dad To Pay For The Wedding |90 Day Fiancé: Happily Ever After?,/watch?v=DN6aIvuVG1s,218355,uk,4430000,1か月前,680829,32
Lisa & Usman Get Married But His Family Doesn't Seem Very Happy | 90 Day Fiancé: Before The 90 Days,/watch?v=5PtZz6Aj18U,401478,uk,4430000,1か月前,680829,59
Man Tells Sister He's Moving With Partner & Taking His Daughter W/ Him |90 Day Fiancé: The Other Way,/watch?v=Q-wHAXNUt-0,494293,uk,4430000,1か月前,680829,73
Fight At The Gypsy Ball After Brother Fails To Find His Sister A Man | Gypsy Brides US,/watch?v=8GOzdf5nJDU,186023,uk,4430000,1か月前,680829,27
Ill-Fitting Fake Teeth Could Ruin 9-Year-Old's Shot At The Crown | Toddlers & Tiaras,/watch?v=vxbmKIDEJx0,253118,uk,4430000,1か月前,680829,37
57-Year-Old Dad Sells House To Be With Mexican Boyfriend | 90 Day Fiancé: The Other Way,/watch?v=TP6W8-nVwL0,321936,uk,4430000,1か月前,680829,47
Larissa Talks About Her New Body And Relationship With Colt | 90 Day Fiancé: Happily Ever After?,/watch?v=TfE8l3nkFS8,845881,uk,4430000,1か月前,680829,124
Bride Gets Covered In Paint To Prove To Gypsy Family She Is A Virgin | Gypsy Brides US,/watch?v=Fzxvb6p6cFQ,561522,uk,4430000,1か月前,680829,82
A Problem With The Music Ruins This Contestant's Big Moment | Toddlers & Tiaras,/watch?v=DQ51wz66bqc,339821,uk,4430000,1か月前,680829,50
The Quints Practice A Fire Drill | OutDaughtered,/watch?v=d5Osq0Ryfhg,395952,uk,4430000,1か月前,680829,58
Man Needs A Hip Replacement After Cycling 8 Hours Everyday For 25 Years | My Strange Addiction,/watch?v=ixpwrxcSNI4,48035,uk,4430000,1か月前,680829,7
Man Finally Reunites With Woman He Met Online 7 Years Ago! | 90 Day Fiance: Before The 90 Days,/watch?v=gnlSDSFIUOU,155283,uk,4430000,1か月前,680829,23
Man Damages Testicles After Having Sex On A Tree | Sex Sent Me To The ER,/watch?v=s8mKGpc6oNg,265313,uk,4430000,1か月前,680829,39
Gypsy Places Curse On Wedding Between Her Cousin And Babyfather | Gypsy Brides US,/watch?v=A52aUjSwijI,323897,uk,4430000,1か月前,680829,48
Four Year Old Contestant Throws A HUGE Temper Tantrum Before Going On Stage | Toddles & Tiaras,/watch?v=z894601kXuU,287034,uk,4430000,1か月前,680829,42
Megan Is Ready To Lose Her Virginity To An Ex-Con | Love After Lockup,/watch?v=LmsXgFv9rVc,508760,uk,4430000,1か月前,680829,75
Woman Eats 100 Square Meters Of Dry Wall In 7 Years | My Strange Addiction,/watch?v=afaY6D8Rh9o,246641,uk,4430000,1か月前,680829,36
Stephanie Freaks Out When Erika Tells Her About Past Traumas | 90 Days Fiancé: Before The 90 Days,/watch?v=s52lAnvAHSc,194169,uk,4430000,1か月前,680829,29
"Flower Gown ""Is One Of The Hardest Dresses I've Had To Make"" | Gypsy Brides US",/watch?v=AmgOGIaA_Aw,1168175,uk,4430000,1か月前,680829,172
7 Little Johnstons : Then & Now | Season 1 & Season 15,/watch?v=c7wWX4NWk6o,87296,uk,4430000,1か月前,680829,13
Pageant Mum Interrupts Presentation Of Contestant With Special Needs | Toddlers & Tiaras,/watch?v=53e7uB5PXv4,978912,uk,4430000,1か月前,680829,144
Clint Finds Out About Tracie's Biggest Secret On Their Wedding Night | Love After Lockup,/watch?v=LPGynhkWPYk,166278,uk,4430000,2か月前,680829,24
Teaching The Girls How To Change A Tyre | 7 Little Johnstons,/watch?v=KH1m59sNqNs,134171,uk,4430000,2か月前,680829,20
Big Ed Tells Rose That He Can't Have Kids | 90 Day Fiancé: Before The 90 Days,/watch?v=Pb2-Lh65u6Q,1880901,uk,4430000,2か月前,680829,276
Woman Eats Up To 2 Lbs Of Rock A Day | My Strange Addiction,/watch?v=B7xwu1ZLiLQ,166940,uk,4430000,2か月前,680829,25
Gypsy Bride Needs A 53ft Lorry To Carry Her Wedding Dress | Gypsy Brides US,/watch?v=egSiazjcEiY,967628,uk,4430000,2か月前,680829,142
Pageant Mums Kick Toddler & Mother Off Their Team | Toddlers and Tiaras,/watch?v=gUHdnOZ_NtI,285224,uk,4430000,2か月前,680829,42
Mom's Drug Abuse Issues Makes Caitlin Flip Out | Love After Lockup,/watch?v=sUzQZgDmMAo,90713,uk,4430000,2か月前,680829,13
Ash's Sexist Seminar Worries American Girlfriend | 90 Day Fiancé: Before The 90 Days,/watch?v=IXUUIyEYVxE,105167,uk,4430000,2か月前,680829,15
