title,url,view,channel_name,channel_subscriber,create_stamp
ACCOUNT DRAW || Bleach Brave Souls || VioleGrays,/watch?v=wY85l_QMZK4,83.0,w,1340.0,9時間前
THE ALTERNATE REBIRTH: 2 SUMMONS || Bleach Brave Souls || Acc 1500+days,/watch?v=IOU2guNTrBw,328.0,w,1340.0,1日前
FREE DAILY 1-10 STEPS SUMMONS 5TH ANNIVERSARY || Bleach Brave Souls || Acc 1500+days,/watch?v=2szY119qp3o,69.0,w,1340.0,2日前
FREE DAILY 1-10 STEPS SUMMONS 5TH ANNIVERSARY || Bleach Brave Souls || Acc 400+days,/watch?v=zKAXYvopYec,67.0,w,1340.0,2日前
FREE DAILY 1-10 STEPS SUMMONS 5TH ANNIVERSARY || Bleach Brave Souls || Acc 500+days,/watch?v=RG3pVC3-FxY,122.0,w,1340.0,3日前
2 000 BRAVE SOULS TICKETS || Bleach Brave Souls || Acc 1500+days,/watch?v=HJh4a8RrBHQ,209.0,w,1340.0,3日前
THE BALANCE TYBW || Bleach Brave Souls || Acc 400+days,/watch?v=CfTplv6swxk,194.0,w,1340.0,5日前
5th Anniversary Tower || Bleach Brave Souls || Acc 1600+days,/watch?v=0bafko8Skbs,275.0,w,1340.0,6日前
"Can't Fear Your Own World SHUHEI HISAGI ""69"" BANKAI COMING SOON...........",/watch?v=fcZoFHqJkpU,278.0,w,1340.0,6日前
THE HEAT LAST CHANCE || Bleach Brave Souls || Acc 1600+days,/watch?v=g6yDu7SkGpQ,201.0,w,1340.0,1週間前
THE HEAT TYBW & THE ALTERNATE REBIRTH: 1 CFYOW SUMMONS || Bleach Brave Souls || Acc 1400+days,/watch?v=PKkd3UgNXaE,224.0,w,1340.0,1週間前
ALL IN 1700 ORBS THE HEAT TYBW || Bleach Brave Souls || Acc 1600+days,/watch?v=tA5o9p0PnnA,268.0,w,1340.0,1週間前
10 000 ORBS ALL IN MULTI BANNER OPENING || Bleach Brave Souls || VioleGrays,/watch?v=-Zwo4yxxEV4,332.0,w,1340.0,1週間前
THOUSAND-YEAR BLOOD WAR 5th ANNIVERSARY & CFYOW The Alternate Rebirth: 4 SUMMONS ||BBS|| Kun Icardi,/watch?v=agJsoxoDhso,198.0,w,1340.0,2週間前
5★x2 & x100 Brave Tickets + CFYOW The Alternate Rebirth: 4 || Bleach Brave Souls || Acc 1600+days,/watch?v=8nCYtB9Xldw,157.0,w,1340.0,2週間前
CFYOW The Alternate Rebirth: 4 SUMMONS || Bleach Brave Souls || Acc 400+days,/watch?v=iFYPurJBXBE,255.0,w,1340.0,2週間前
4100 ORBS THOUSAND-YEAR BLOOD WAR 5th ANNIVERSARY || Bleach Brave Souls || Acc 400+days,/watch?v=EVjVwBU-2TU,268.0,w,1340.0,2週間前
CFYOW The Alternate Rebirth: 4 SUMMONS || Bleach Brave Souls || Acc 1400+days,/watch?v=K0_q3JOaE8c,226.0,w,1340.0,2週間前
3850 ORBS THOUSAND-YEAR BLOOD WAR 5th ANNIVERSARY || Bleach Brave Souls || Acc 500+days,/watch?v=VN0xuU6fwqY,205.0,w,1340.0,3週間前
2850 ORBS THOUSAND-YEAR BLOOD WAR 5th ANNIVERSARY || Bleach Brave Souls || Acc 1400+days,/watch?v=y0nPpXqqkIY,273.0,w,1340.0,3週間前
FREE DAILY 1-10 STEPS SUMMONS 5TH ANNIVERSARY || Bleach Brave Souls || Acc 1600+days,/watch?v=kfXmTrs9wOg,142.0,w,1340.0,3週間前
10 000 ORBS All IN ORBS THOUSAND-YEAR BLOOD WAR 5th ANNIVERSARY || Bleach Brave Souls || Gin,/watch?v=VUUlrPVSD74,291.0,w,1340.0,3週間前
All IN 4000 ORBS THOUSAND-YEAR BLOOD WAR 5th ANNIVERSARY || Bleach Brave Souls || Acc 1600+days,/watch?v=APdALadoEXE,400.0,w,1340.0,3週間前
6 000 ORBS 5th ANNIVERSARY SUMMONS || Account Draw || Acc Kun Icardi,/watch?v=fcMFxq1wjq8,226.0,w,1340.0,||AccKunIcardi作成者:la4週間前
5th ANNIVERSARY 1 - 14 STEPS + Choose ★6 SUMMONS & Free Multi || Bleach Brave Souls || Acc 400+days,/watch?v=uUx0MvHZemU,276.0,w,1340.0,4週間前
10 000 ORBS 5th ANNIVERSARY SUMMONS || Account Draw || Acc KunMasheni,/watch?v=TO7KR0oN3jI,379.0,w,1340.0,||AccKunMasheni作成者:la1か月前
SWIMSUIT SUMMONS SURF || Bleach Brave Souls || Acc 1600+days,/watch?v=qfV1Nb445lE,181.0,w,1340.0,1か月前
5th ANNIVERSARY 1 - 6 STEPS + Choose ★6 SUMMONS & Free Multi || Bleach Brave Souls || Acc 500+days,/watch?v=6qXv7V-YzcY,289.0,w,1340.0,1か月前
5th ANNIVERSARY 1 - 10 STEPS + Choose ★6 SUMMONS & Free Multi || Bleach Brave Souls || Acc 1400+days,/watch?v=LSR0HZk6h8I,360.0,w,1340.0,1か月前
5th ANNIVERSARY 1 - 11 STEPS + Choose ★6 SUMMONS & Free Multi || Bleach Brave Souls || Acc 1500+days,/watch?v=gThxTktnNDk,369.0,w,1340.0,1か月前
Tropical Swimsuit & Uncovered Truths DESTRUCTION Summons || Bleach Brave Souls || Acc 500+days,/watch?v=8-h9xAF17P0,195.0,w,1340.0,1か月前
TROPICAL SWIMSUIT & DESTRUCTION SUMMONS & Different Tickets || Bleach Brave Souls || Acc 1500+days,/watch?v=7K084oMTMzs,272.0,w,1340.0,1か月前
MY OPINION 5th Anniversary Bleach Brave Souls,/watch?v=pYjZBQElS-E,109.0,w,1340.0,1か月前
A Brief Glimpse The Future & Squirt Swimsuit Summons & Tickets || Bleach Brave Soul || Acc 1500+days,/watch?v=o-_tIMBXPo0,183.0,w,1340.0,1か月前
Eyes Wide Open The Thirst & Swimsuit & ALL Asia & 270 Brave Accessories  Tickets || Acc 500+days,/watch?v=mK9ansfhso8,239.0,w,1340.0,1か月前
5th Anniversary Bleach Brave Souls,/watch?v=k3Y8Kd9U1Zg,109.0,w,1340.0,1か月前
The Making of the 5th Anniversary Bleach: Brave Souls Characters,/watch?v=o2P5jIw50zI,118.0,w,1340.0,1か月前
100 Brave Souls & 5★ Tickets || Bleach Brave Souls || Acc 1500+days,/watch?v=yuWwHqM3XXs,380.0,w,1340.0,1か月前
140+ BRAVE SOULS ACCESSORIES TICKETS || Bleach Brave Souls || Acc 1500+days,/watch?v=rIcSL0ZhiU0,93.0,w,1340.0,1か月前
MULTI BANNER & x100 Brave Souls & 5★ Tickets || Bleach Brave Souls || Acc 400+days,/watch?v=GHPQ0gWtvp8,358.0,w,1340.0,1か月前
5th ANNIVERSARY CHARACTER TRAILER  BLEACH BRAVE SOULS,/watch?v=5WBjSAmxYwc,201.0,w,1340.0,1か月前
SWIMSUIT SUMMONS SUMMER RESORT || Bleach Brave Souls || Acc 1500+days,/watch?v=asAcT-tGKSU,191.0,w,1340.0,1か月前
1 - 6 STEPS SWIMSUIT SUMMONS SUMMER RESORT || Bleach Brave Souls || Acc 400+days,/watch?v=Rtvdp8netgY,286.0,w,1340.0,1か月前
