title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
🎥 THINK LIKE A DOG (2020) | Movie Trailer | Full HD | 1080p,/watch?v=iZa9c9g8awg,390,TRAILER CITY,340000,2か月前,232599,0
🎥 FORCE OF NATURE (2020) | Movie Trailer | Full HD | 1080p,/watch?v=1uf9frvc4wA,780,TRAILER CITY,340000,2か月前,232599,0
🎥 BABYTEETH (2019) | Movie Trailer | Full HD | 1080p,/watch?v=W3q0ypti6xk,1782,TRAILER CITY,340000,2か月前,232599,1
🎥 DEBT COLLECTORS (2020) | Movie Trailer | Full HD | 1080p,/watch?v=0kLchc-ViAk,447,TRAILER CITY,340000,3か月前,232599,0
🎥 ON THE RECORD  (2020) | Movie Trailer | Full HD | 1080p,/watch?v=0Ej75kYnW_Y,1279,TRAILER CITY,340000,3か月前,232599,1
🎥 LANDCASTER SKIES  (2019) | Movie Trailer | Full HD | 1080p,/watch?v=38t0tR7SL24,730,TRAILER CITY,340000,3か月前,232599,0
🎥 CUT THROAT CITY (2020) | Movie Trailer | Full HD | 1080p,/watch?v=p1g8P-WzQgU,517,TRAILER CITY,340000,3か月前,232599,0
🎥 BAD EDUCATION (2019) | Movie Trailer | Full HD | 1080p,/watch?v=Z6iIvUF0yNw,799,TRAILER CITY,340000,3か月前,232599,0
🎥 BLACK WIDOW (2020) | Movie Trailer | Full HD | 1080p,/watch?v=V_DXxsD7Oms,1558,TRAILER CITY,340000,3か月前,232599,1
🎥 SPACESHIP EARTH (2020) | Movie Trailer | Full HD | 1080p,/watch?v=t4c4in5uaEc,730,TRAILER CITY,340000,3か月前,232599,0
🎥 CASTLE IN THE GROUND (2019) | Movie Trailer | Full HD | 1080p,/watch?v=XhkXvaaq5fg,618,TRAILER CITY,340000,3か月前,232599,0
🎥 SERGIO (2020) | Movie Trailer | Full HD | 1080p,/watch?v=W-3RtDRrUzM,633,TRAILER CITY,340000,3か月前,232599,0
🎥 PLANET OF THE HUMANS  (2019) | Movie Trailer | Full HD | 1080p,/watch?v=A11pmP7Yzlc,25729,TRAILER CITY,340000,3か月前,232599,11
🎥 THE PAINTER AND THE THIEF (2020) | Movie Trailer | Full HD | 1080p,/watch?v=Z-knkVOrTko,671,TRAILER CITY,340000,3か月前,232599,0
🎥 PROXIMITY (2020) | Movie Trailer | Full HD | 1080p,/watch?v=REThOIwkPrM,3997,TRAILER CITY,340000,3か月前,232599,2
🎥 BLOOD AND MONEY (2020) | Movie Trailer | Full HD | 1080p,/watch?v=fF20gmo_DJg,583,TRAILER CITY,340000,3か月前,232599,0
🎥 HOW TO BUILD A GIRL (2019) | Movie Trailer | Full HD | 1080p,/watch?v=wbKAuNblaiw,531,TRAILER CITY,340000,3か月前,232599,0
ザ・キーパー (2018) | Trailer | Full HD | 1080p,/watch?v=-8hqlRJe8q0,1141,TRAILER CITY,340000,3か月前,232599,0
🎥 RED JOAN (2018) | Movie Trailer | Full HD | 1080p,/watch?v=6O8WwxEKqS0,888,TRAILER CITY,340000,3か月前,232599,0
🎥 THE ROOM (2019) | Movie Trailer | Full HD | 1080p,/watch?v=RtKuomxRcho,2696,TRAILER CITY,340000,4か月前,232599,1
🎥 LOST GIRLS (2020) | Movie Trailer | Full HD | 1080p,/watch?v=yfDx5g7OYpw,1661,TRAILER CITY,340000,4か月前,232599,1
🎥 RESISTANCE (2020) | Movie Trailer | Full HD | 1080p,/watch?v=7L0bmam_D-U,1002,TRAILER CITY,340000,4か月前,232599,0
🎥 THE JESUS ROLLS (2019) | Movie Trailer | Full HD | 1080p,/watch?v=6q248i0kJP4,894,TRAILER CITY,340000,4か月前,232599,0
ディアスキン 鹿革の殺人鬼 (2019) | Trailer | Full HD | 1080p,/watch?v=jpWRHedmlZE,836,TRAILER CITY,340000,4か月前,232599,0
Hope Gap (2019) | Trailer | Full HD | 1080p,/watch?v=3fiqXP32o4o,421,TRAILER CITY,340000,4か月前,232599,0
🎥 CLOVER (2020) | Movie Trailer | Full HD | 1080p,/watch?v=Dlj8imS4Ozk,718,TRAILER CITY,340000,4か月前,232599,0
🎥 THE ARTIST'S WIFE (2019) | Movie Trailer | Full HD | 1080p,/watch?v=uGrve3MTyXk,547,TRAILER CITY,340000,4か月前,232599,0
マクマホン・ファイル (2020) | Trailer | Full HD | 1080p,/watch?v=1BbHIT_G_NA,659,TRAILER CITY,340000,4か月前,232599,0
🎥 CLIFTON HILL (2019) | Movie Trailer | Full HD | 1080p,/watch?v=mikw__NsPhA,341,TRAILER CITY,340000,4か月前,232599,0
Bull (2019) | Trailer | Full HD | 1080p,/watch?v=T0yIzmkvfkA,542,TRAILER CITY,340000,4か月前,232599,0
Calm with Horses (2019) | Trailer | Full HD | 1080p,/watch?v=Roo5X7Wklr8,922,TRAILER CITY,340000,4か月前,232599,0
🎥 THE WRETCHED (2019) | Movie Trailer | Full HD | 1080p,/watch?v=-VgN7s2mXKQ,6855,TRAILER CITY,340000,4か月前,232599,3
🎥 WORKING MAN (2020) | Movie Trailer | Full HD | 1080p,/watch?v=LT1ht0dK5w8,785,TRAILER CITY,340000,4か月前,232599,0
🎥 THE OTHER LAMB (2019) | Movie Trailer | Full HD | 1080p,/watch?v=qALjhtEx8l4,1824,TRAILER CITY,340000,4か月前,232599,1
🎥 LAZY SUSAN (2020) | Movie Trailer | Full HD | 1080p,/watch?v=HCyLHpTU3pY,647,TRAILER CITY,340000,4か月前,232599,0
Judy & Punch (2019) | Movie Trailer | Full HD | 1080p,/watch?v=ylGp3Qrct-U,923,TRAILER CITY,340000,4か月前,232599,0
フィッシャーマンズ・ソング　コーンウォールから愛をこめて (2019) | Trailer | Full HD | 1080p,/watch?v=K0FmfbC9zbg,468,TRAILER CITY,340000,4か月前,232599,0
レッド・ハンター (2018) | Trailer | Full HD | 1080p,/watch?v=pzUky3UHStQ,673,TRAILER CITY,340000,4か月前,232599,0
🎥 THE POSTCARD KILLINGS (2020) | Movie Trailer | Full HD | 1080p,/watch?v=-Wrh0en0Fw8,622,TRAILER CITY,340000,4か月前,232599,0
