title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Live Rescue: You’re Not Supposed to Eat That: Most Viewed Moments | A&E,/watch?v=6aPn-946Jmw,1680,A&amp;E,5410000,,291151,1
Extreme Unboxing: They Paid $680 for $3820 Worth of MYSTERY Items! (Season 1) | A&E,/watch?v=PeKj23Ap7SI,12696,A&amp;E,5410000,,291151,4
Storage Wars: Best of Brandi & Jarrod | TOP Moments | A&E,/watch?v=683atBIMnBg,19147,A&amp;E,5410000,,291151,7
Parking Wars: Kill 'Em with Kindness (Season 2 Flashback) | A&E,/watch?v=bFrOt9ppjYU,10127,A&amp;E,5410000,,291151,3
What's It Worth? Jimmy Carter Signed Baseball! (Bonus Scene) | A&E,/watch?v=QzQyP9NLdy8,8527,A&amp;E,5410000,,291151,3
Intervention: Before & After: Coleman’s Emotional Path to Recovery (Season 21) | A&E,/watch?v=ML643TMer7k,27835,A&amp;E,5410000,,291151,10
Hoarders: Before & After: Cockroaches Wiped Out of Flora’s Home (Season 11) | A&E,/watch?v=X29_UP1FWVQ,62936,A&amp;E,5410000,,291151,22
The Redeemed: From Prison to Law School Graduate (Episode 4) | A&E,/watch?v=pawQ7Mx9iog,11017,A&amp;E,5410000,,291151,4
Live Rescue: Helping Hand (Season 1) | A&E,/watch?v=w_TGr9yBKvs,27337,A&amp;E,5410000,,291151,9
"Parking Wars: You Can Run, But Ya Can't Hide (Season 2 Flashback) | A&E",/watch?v=CFAni3gDPbI,23196,A&amp;E,5410000,,291151,8
60 Days In: Alan Buys Drugs (Season 4 Flashback) | A&E,/watch?v=YM_GcBTyt-o,122559,A&amp;E,5410000,,291151,42
"What's It Worth: Jeff Foxworthy Reacts to $10,000 Eric Clapton Vest & More! | A&E",/watch?v=lDnnzBf4sRI,8499,A&amp;E,5410000,,291151,3
Court Cam: Mollie Shouse Guilty Verdict (Season 2) | A&E,/watch?v=wSzH48dsm0A,82706,A&amp;E,5410000,,291151,28
60 Days In: Angele Fights an Inmate (Season 4 Flashback) | A&E,/watch?v=2j8ABiBDqa8,315533,A&amp;E,5410000,,291151,108
"Live Rescue: Live Chat with Matt Iseman, Garon Mosby and Dan Flynn @ 4pm ET | A&E",/watch?v=bM9WxOGKG1A,20188,A&amp;E,5410000,,291151,7
Live Rescue: Season 3 | New Episodes Fri & Sat @ 9/8c | A&E,/watch?v=rJMoXoRw51M,13429,A&amp;E,5410000,,291151,5
Extreme Unboxing: What Mystery Pallet Items ACTUALLY Sold For (Episode 2) | A&E,/watch?v=OruWJtL_1ww,12114,A&amp;E,5410000,,291151,4
Court Cam: Defendant THROWS Backpack at Judge (Season 2) | A&E,/watch?v=m3KPCGbbGko,113754,A&amp;E,5410000,,291151,39
60 Days In: Top 5 Biggest Fights S3 | A&E,/watch?v=_KmJfHWf_d8,748891,A&amp;E,5410000,,291151,257
"Hoarders: Behind the Scenes – Big Brain, Even BIGGER Hoard (S11) | A&E",/watch?v=0d5w7tXB0xA,36079,A&amp;E,5410000,,291151,12
Live Rescue: Young at Heart: Senior Citizen Calls (Part 1) | A&E,/watch?v=cVS0cfCLRxo,62879,A&amp;E,5410000,,291151,22
Extreme Unboxing: Steve & Steph Paid $551 for a $1918 MYSTERY Pallet! (Season 1) | A&E,/watch?v=tjpVhxXpFt4,15430,A&amp;E,5410000,,291151,5
Storage Wars: Rene on Display - His Top Moments | A&E,/watch?v=Im2LjVvdSQs,28126,A&amp;E,5410000,,291151,10
Parking Wars: Why Did This Happen to ME?! (Season 2) | A&E,/watch?v=_MH8nFjWegw,29744,A&amp;E,5410000,,291151,10
