title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
The Dark and the Wicked Trailer #1 (2020) | Movieclips Indie,/watch?v=zM-jmNmX50Q,122,Movieclips I,1750000,,36724,0
Sibyl Trailer #1 (2020) | Movieclips Indie,/watch?v=oQesehQdyrI,9508,Movieclips I,1750000,,36724,26
Spontaneous Trailer #1 (2020) | Movieclips Indie,/watch?v=MpRMJmmk1iI,4605,Movieclips I,1750000,,36724,13
Alone Trailer #1 (2020) | Movieclips Indie,/watch?v=bHKgptVbT9s,14237,Movieclips I,1750000,,36724,39
T11 Incomplete Trailer #1 (2020) | Movieclips Indie,/watch?v=3kXfsFtVuF0,6517,Movieclips I,1750000,,36724,18
Wild Grass Trailer #1 (2020) | Movieclips Indie,/watch?v=uZRgAxQ-R9I,8116,Movieclips I,1750000,,36724,22
The Eight Hundred Trailer #1 (2020) | Movieclips Trailers,/watch?v=kbikn8Q148c,16577,Movieclips I,1750000,,36724,45
The Argument Trailer #1 (2020) | Movieclips Indie,/watch?v=ZHoCuNauU4A,7304,Movieclips I,1750000,,36724,20
Time Trailer #1 (2020) | Movieclips Indie,/watch?v=mmLFjTuLgf0,4273,Movieclips I,1750000,,36724,12
Ghost Tropic Trailer #1 (2020) | Movieclips Indie,/watch?v=tBLIiTjBM9I,4950,Movieclips I,1750000,,36724,13
Ottolenghi and the Cakes of Versailles Trailer #1 (2020) | Movieclips Indie,/watch?v=8e5xibmu3O8,4442,Movieclips I,1750000,,36724,12
Killian & The Comeback Kids Trailer #1 (2020) | Movieclips Indie,/watch?v=kPT9G9JPocg,4615,Movieclips I,1750000,,36724,13
Buoyancy Trailer #1 (2020) | Movieclips Indie,/watch?v=1X0_hpO-O_4,6731,Movieclips I,1750000,,36724,18
The Antenna Trailer #1 (2020) | Movieclips Indie,/watch?v=VBBogwVDZMo,6523,Movieclips I,1750000,,36724,18
Death of Me Trailer #1 (2020) | Movieclips Indie,/watch?v=eyUPzqGVKzY,9341,Movieclips I,1750000,,36724,25
Blackbird Trailer #1 (2020) | Movieclips Indie,/watch?v=JvRsUo6cYFw,31134,Movieclips I,1750000,,36724,85
All In: The Fight for Democracy Trailer #1 (2020) | Movieclips Indie,/watch?v=avCEHtZlcRs,2899,Movieclips I,1750000,,36724,8
"Bloody Nose, Empty Pockets Trailer #1 (2020) | Movieclips Indie",/watch?v=RiOMpVamTuk,3759,Movieclips I,1750000,,36724,10
No Escape Trailer #1 (2020) | Movieclips Indie,/watch?v=3Lpfs_s5BZY,7938,Movieclips I,1750000,,36724,22
Lost Girls & Love Hotels Trailer #1 (2020) | Movieclips Indie,/watch?v=YW0nckH7sgw,78021,Movieclips I,1750000,,36724,212
5 Years Apart Trailer #1 (2020) | Movieclips Indie,/watch?v=5GOJD87eXkc,19035,Movieclips I,1750000,,36724,52
Lingua Franca Trailer #1 (2020) | Movieclips Indie,/watch?v=htFyaiMAdYM,6875,Movieclips I,1750000,,36724,19
The Owners Trailer #1 (2020) | Movieclips Indie,/watch?v=MBIe_9h-R8s,6787,Movieclips I,1750000,,36724,18
Skin: A History of Nudity in the Movies Trailer #1 (2020) | Movieclips Indie,/watch?v=jds8snlN0Ok,51776,Movieclips I,1750000,,36724,141
You Cannot Kill David Arquette Trailer #1 (2020) | Movieclips Indie Trailers,/watch?v=K5Ujq07y8Rk,48763,Movieclips I,1750000,,36724,133
Sno Babies Trailer #1 (2020) | Movieclips Indie,/watch?v=uxsZtj6Kz9A,7357,Movieclips I,1750000,,36724,20
Alone Trailer #1 (2020) | Movieclips Indie,/watch?v=Z4BYIXkdjqM,4695,Movieclips I,1750000,,36724,13
Rogue Warfare: Death of a Nation Trailer #1 (2020) | Movieclips Indie,/watch?v=fg4nmD546c4,6080,Movieclips I,1750000,,36724,17
The 24th Trailer #1 (2020) | Movieclips Indie,/watch?v=M_XTnCam1Eg,78598,Movieclips I,1750000,,36724,214
Rent-A-Pal Trailer #1 (2020) | Movieclips Indie,/watch?v=NS3jG3KKXVs,10694,Movieclips I,1750000,,36724,29
In the Life of Music Trailer #1 (2020) | Movieclips Indie Trailers,/watch?v=6Skr9QTFUHY,8631,Movieclips I,1750000,,36724,24
