channel_url,channel_name,scrape_at,channel_country,channel_subscriber,mean_view,channel_create_at,all_video_views,instagram,twitter,blog
/channel/UCSg3OL8HDgSg8P8hksVetQg,Kirstin Devin,2020/08/28,,,,,,,,
/channel/UC7TMmxhnj8AVwt5MgsGapxw,イケチャンネル,2020/08/28,,,,,,,,
/channel/UCLZJPd7_awUPC1XecK8A8eA,のほ サブチャソネル,2020/08/28,,,,,,,,
/user/tutinoko464,Taisan,2020/08/28,,,,,,,,
/channel/UCXIoPYqoZeZ0qY5oYR9LVOA,Stephani Hohn,2020/08/28,,,,,,,,
/channel/UCHO9UDcxPjJ9JSMNYJwk3mw,すばくん,2020/08/28,,,,,,,,
/user/cinemacafenet,cinemacafenet,2020/08/28,,,,,,,,
/channel/UCnG3zMy5VHD0JEylpnJJ6FA,暇つぶし,2020/08/28,,,,,,,,
/channel/UC5xtPacH_bYTrtTW_aG0vlw,天照 EVE,2020/08/28,,,,,,,,
/channel/UC9aNQJJ1L6rDHKcr1n_7yHQ,甘楽.,2020/08/28,,,,,,,,
/user/oXpolungaXo,ポルンガ/Polunga,2020/08/28,,,,,,,,
/channel/UCNfPra_7FVzHKjPWMVCdpvA,ままんTV。,2020/08/28,,,,,,,,
/channel/UC5oTaiA8Oq72Dwk88ad5nwg,110KZ,2020/08/28,,,,,,,,
/channel/UC6xzaGz8h_moR27qrJIHUIw,るき,2020/08/28,,,,,,,,
/user/x49s8css,Osamu narita,2020/08/28,,,,,,,,
/channel/UCnOZ3BAGYd6PX5gne29XGZg,Vincent ubio,2020/08/28,,,,,,,,
/channel/UCBJfYF_Q8K1B_5A7v4Otcww,でこまる,2020/08/28,,,,,,,,
/user/kouhatsu,南森町コーハツ,2020/08/28,,,,,,,,
/channel/UCOlX9iIcsXrT3qVw4_2Ceyw,Fist of the World King,2020/08/28,,,,,,,,
/channel/UCKT2FTMwPvmL_jc1uL1Ynuw,2525 MAD,2020/08/28,,,,,,,,
/channel/UCV7SmmVbR0g5KwjOFTMEPDw,EXILE NAOTO オネストTV,2020/08/28,,,,,,,,
/user/qayyumnawaz,qayyum nawaz,2020/08/28,,,,,,,,
/channel/UCoErfiJT3VXyV08_rqzKYZg,Revoa,2020/08/28,,,,,,,,
