turn_id,title,video_url,view,channel_url,channel_name,video_length,create_stamp,queriy,scrape_at,channel_country,channel_subscriber,mean_view,create_at,tag,description,like,dislike
18,JOJO的奇妙冒險 黃金之風 義大利牛郎團的跳舞時間,/watch?v=c4cW6WaUhCs,257312,/channel/UCdwad3s8yavJARbUSU1WFcg,米崎爾,2 分 7 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
24,からくりピエロ  【JOJO的奇妙冒險】【腐向注意】,/watch?v=SFn8jRUtKW8,595,/channel/UCdughypRC4I3GdYjeaXMZqg,謎亞星自走表情包,28 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
26,AMTV JoJo的奇妙冒險 不滅鑽石 OP3 Great Days,/watch?v=LYd-Xj-1EeY,469,/channel/UCKM5rxpKFuVjcxVWqaMZ7GQ,zzz zzz,4 分,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
27,【東方MMD】JoJo的奇妙冒險 OP ジョジョ 〜その血の運命,/watch?v=3iiSClMi65Q,85502,/channel/UCgj58wGjbS7hfaIi0frkOEg,Chiba Ryutaro,1 分 30 秒,4 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
28,JOJO的奇妙冒險  動物園,/watch?v=9TT8G0wdB0U,806,/channel/UCnXXALA1UsGeT7vlXcOq3Uw,走路的羊.,2 分 16 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
29,五分鐘看完JOJO的奇妙冒險 (5 Minutes about JoJo's Bizarre Adventure),/watch?v=lKOaW2OFxVE,3175,/user/shentudian,pureland,5 分 2 秒,10 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
31,JOJO的奇妙冒險：不滅鑽石 - Trailer,/watch?v=poiTyelF8Wo,3876,/channel/UC3RWt0Ilr54I7TrGoW8o94w,YouTube Movies,1 分 32 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
37,JoJo的奇妙冒險 - OP.ED  (第1~3部),/watch?v=yWxy6xqtOOE,312,/channel/UCj1ecalZfDORU6pSpmaBOOQ,動畫曲,11 分 57 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
45,#19【yoyo】ジョジョ その血の運命 | JoJo的奇妙冒險,/watch?v=Gq6VzEWR8zk,147,/user/Flyppyo,くるみ‧yoyo,1 分 14 秒,5 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
46,JoJo's Bizarre Adventure   JoJo的奇妙冒險萌豚特莉休,/watch?v=6ovBxMyFCV8,573,/channel/UCS1UfyoGDH1meONdmp7GMsQ,Mdkoe Jis,1 分 47 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
48,JoJo的奇妙冒險 黃金之風 精彩時刻,/watch?v=O5u2OZKleiY,9520,/channel/UCbNeBQdTPAfnbxVe8_yDCSg,我是誰,4 分 52 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
51,【台湾/男性が歌】JOJO的奇妙冒險 黃金之風 OP2-背叛者的安魂曲 Cover by Toka (長谷川大輔-裏切り者のレクイエム),/watch?v=KR4rZS8QSpY,414,/user/we966402,Toka,1 分 33 秒,8 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
53,【電影嗐聊】JOJO 的奇妙冒險 不滅鑽石 真人版電影 預告,/watch?v=LU7AegnPALw,37963,/channel/UCiLOYXjoNtRvtyXVKFXGkMw,童年回憶金剛戰士-狗狗睪丸被割,1 分 30 秒,3 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
54,JOJO的奇妙冒險 - ジョジョ～その血の運命～ AMV (中英日羅馬字幕) JOJO~The Destiny of That Blood~ with English Lyrics,/watch?v=HnISDy_lPS8,42,/channel/UCCZ-DF1gQq63bgLzOg2bb7Q,Highlighted Moments,4 分 23 秒,1 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
55,【神威鬼鳴】感覺自己是DIO噠！【JOJO的奇妙冒險 (鬼畜!!音量注意!!)】,/watch?v=VjlfZWElYeI,103900,/user/TheLightNighter,光耀之夜,3 分 47 秒,3 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
56,JOJO的奇妙冒險 印度上廁所,/watch?v=tWnNPE16UK8,154694,/channel/UC7H1wuZc4yXg4KyQMarHheQ,小哲,2 分 5 秒,6 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
57,Jojo的奇妙冒險 黃金之風 喬魯諾的鋼琴 1hr版本Giorno's piano 1Hr,/watch?v=cDfNYEN1dis,420252,/channel/UCCFHW0_uPNBqE6Tr-ylVheQ,黃銅礦,1 時間 10 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
63,JOJO的奇妙冒險第四部 不滅鑽石 36話 op7 JoJo's Bizarre Adventure OP 7 NEW (V3) Great Days,/watch?v=mevo2nG2gKc,37149,/user/energy7429,Nomad,1 分 22 秒,3 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
67,TV動畫 JOJO的奇妙冒險 黃金之風最新PV 中文字幕,/watch?v=9lErTHkwGqM,14862,/channel/UCt54Dtot79cXDaOx30FPSoA,茶紅,19 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
68,《JOJO的奇妙冒險AMD》烈の瞬 箭,/watch?v=yRdZhZ9RaZE,886,/channel/UCz2Xu-S_ri53vkfjnZAsxWg,百力滋,6 分 16 秒,9 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
73,【SBR#第1话】《JOJO的奇妙冒险第七部 飙马野郎》 Steel·Ball·Run,/watch?v=NNKyPaPtATk,13350,/channel/UCUpY2s9BeM2MTg3wJT-23UA,小圣江湖【官方频道】,15 分 5 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
74,【JOJO的奇妙冒險】主題曲惡搞,/watch?v=QcJ5cOaWcqc,2664,/channel/UCgOGfS15DKYPZ6wFkZi6zGA,凱狄KaiDi,20 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
78,JoJo的奇妙冒險 黃金之風 OP2空耳,/watch?v=6u94RB-FtGc,33,/channel/UCWQNkzjhdQlcR5JWeiwaQZg,半圓夢youtube,1 分 33 秒,8 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
83,JOJO的奇妙冒險:黃金之風 喬魯諾的七頁無駄,/watch?v=xg0R9y-jsYo,91,/channel/UCb6LLoBGBOBesE5FiiJNjew,中二界的怠惰大祭司,54 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
88,【Low君】《JOJO的奇妙冒险：不滅鑽石》,/watch?v=wbHMx0xF5r8,4096,/channel/UC1xCRWuOVDA4i7uBRbk02EQ,low君熱劇,5 分 20 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
91,【JOJO的奇妙冒險】惡搞 喬瑟夫我要進來了!!《哆啦AV夢》,/watch?v=fQXreb_HKaE,416,/channel/UCUGNMmCNVBfj4x5w_cmz2yg,大大w w,1 分 53 秒,1 週間,JOJO的奇妙冒險,2020/08/28,,,,,,,,
94,JOJO的奇妙冒險3 ED --- Walk Like An Egyptian,/watch?v=yAOuzi4UcmQ,4749,/user/Z5273,Yip.W.Z,1 分 30 秒,6 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
96,《JOJO 的奇妙冒險 天國之眼》合體必殺技（DHA）集　第五～八部＋跨部組合,/watch?v=spjQWStdERs,43659,/channel/UCbmgGmS2P0KnxmhNwCDNFjg,Game LIFE 遊戲情報,9 分 46 秒,4 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
99,JOJO的奇妙冒險 黃金之風 OP - Fighting Gold 中字,/watch?v=Sj5sQKKmqxY,42148,/channel/UCbfmOf-eFc8fSKzwgOz9Cbg,桓,1 分 30 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
100,JoJo的奇妙冒險 黃金之風 第5集 精彩片段 02,/watch?v=KwGjOTtfxU8,12583,/channel/UCzrP0mHdOE0GHSDA90egTyw,Xavier意,3 分 28 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
103,JOJO的奇妙冒險 AMV,/watch?v=WLdD_k-V43I,32,/channel/UCcyUShNAM4wIii_2cPIr6wg,南野遙·埃蒙斯,4 分 18 秒,9 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
105,吉良吉影Boki是什麼梗！？Ashhh帶你看《JOJO的奇妙冒險 第四部》不滅鑽石（下）,/watch?v=xxZE4ul9x6U,191498,/channel/UCK5LUK8viFrysSXt7sh2yGA,AshhhTV/阿修,16 分 43 秒,4 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
110,《JoJo的奇妙冒險》（日語：ジョジョの奇妙な冒険）cosplay [Hong Kong],/watch?v=_997Is3WvMs,1484,/user/ytlokvideo,Cosplay photo,1 分 39 秒,6 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
111,JOJO的奇妙冒險S1 OP,/watch?v=TgG4rwO_zdM,31840,/channel/UCcqYVYElV7CooVeOCWFr9nQ,忍ninja,1 分 33 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
113,jojo的奇妙冒險介紹,/watch?v=HYvdExdJpxE,378,/channel/UCHEJeSlJNvh8o1eJ48T56qQ,葉祐圻,2 分 20 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
114,JOJO替身現實用法#JoJo的奇妙冒險,/watch?v=h1cPY8DRXWk,43,/channel/UCltTc1JwgZ8M8V1F0UtTq4A,吠勿的窩,1 分 37 秒,2 週間,JOJO的奇妙冒險,2020/08/28,,,,,,,,
116,[含劇透]JOJO 的奇妙冒險 黃金之風 OP2 Golden Wind OP2 新舊版本比對,/watch?v=dl7T_NmgUzU,36537,/channel/UCOU_gsAIZAEXb6yMHUAUJ7A,動漫編輯室TKAL,1 分 56 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
119,jojo的奇妙冒險 黃金之風 里蘇特惡搞bang,/watch?v=kW21Fqh1JjI,11,/channel/UCNSYvcyySQCIO4mR8othJjQ,沫泡,27 秒,2 週間,JOJO的奇妙冒險,2020/08/28,,,,,,,,
122,承太郎 VS 拳四郎 (JoJo的奇妙冒險 VS 北斗神拳) 生死爭霸戰(Death Battle) 繁體中文字幕,/watch?v=23cNhxW3C_k,10802,/channel/UC5HePNl-LUrrk31Ev8ImcGQ,46軒,16 分 17 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
126,JOJO的奇妙冒險星塵鬥士埃及篇ED,/watch?v=Yp9HZ6wmuZ8,9318,/channel/UC8RKh9jyuyGHNgqQpN7NwfQ,理由伯,1 分 27 秒,5 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
131,JOJO的奇妙冒險 漫畫-喬魯諾的派對,/watch?v=ccYBfo5i4XM,1175,/channel/UC12GTL_Z4QZqbRC0i_rmrcg,新人阿基,1 分 36 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
